,x,y
0,0.0,9.302970053314818
1,3.0,9.662620584038061
2,6.0,10.990955477930623
3,9.0,12.430107125754347
4,12.0,13.681665628337369
5,15.0,14.608886382335427
6,18.0,15.713199583265641
7,21.0,16.536306800616018
8,24.0,17.025368883552005
9,27.0,17.616130489722835
10,30.0,18.10196376319152
11,33.0,18.617837902445775
12,36.0,18.635723397641424
13,39.0,18.75132224129331
14,42.0,19.508894229755565
15,45.0,20.45663212174732
16,48.0,20.896454958567226
17,51.0,21.02755548957074
18,54.0,20.836173956098648
19,57.0,20.70063462572238
20,60.0,20.39427621462936
21,63.0,20.22160655389953
22,66.0,19.741008572644215
23,69.0,19.84917363728824
24,72.0,19.753393543103694
25,75.0,19.77856980865545
26,78.0,19.799859219852106
27,81.0,19.439141252215126
28,84.0,19.584161984340085
29,87.0,19.499001955776727
30,90.0,19.649350812086013
31,93.0,19.328393975408567
32,96.0,19.169509197907047
33,99.0,19.235622535315187
34,102.0,19.278400828635355
35,105.0,19.340028457829625
36,108.0,19.34207648679665
37,111.0,19.1127338096974
38,114.0,18.867466724667878
39,117.0,19.07370267501069
40,120.0,19.2387037347514
41,123.0,19.33070713596164
42,126.0,19.74181993314201
43,129.0,19.829021420301608
44,132.0,19.73419024999016
45,135.0,19.722264334235906
46,138.0,19.838406501360687
47,141.0,19.686409067041247
48,144.0,19.42051889199332
49,147.0,19.458585160024484
50,150.0,19.388755465461415
51,153.0,19.33193620585234
52,156.0,19.70682101866911
53,159.0,19.818001173265415
54,162.0,19.5030390960562
55,165.0,18.989662960657295
56,168.0,18.6210728223706
57,171.0,18.534034134166017
58,174.0,18.593331743601976
59,177.0,18.66408765644644
60,180.0,18.54279255428864
61,183.0,18.381650430506696
62,186.0,18.36631904120816
63,189.0,18.358474659209946
64,192.0,18.31014887842237
65,195.0,18.67132095147645
66,198.0,19.09553355485761
67,201.0,19.51994892705649
68,204.0,19.652748829847745
69,207.0,19.952450771954688
70,210.0,20.14649922040055
71,213.0,19.887906532322493
72,216.0,19.82438030179389
73,219.0,19.96269841280469
74,222.0,20.110549317833275
75,225.0,20.095481249848405
76,228.0,20.207923405094824
77,231.0,20.00164451008899
78,234.0,20.07002902873576
79,237.0,19.741400288488094
80,240.0,19.751994425064602
81,243.0,18.59496937058311
82,246.0,17.31178289390885
83,249.0,16.33296058968398
84,252.0,15.419200170210994
85,255.0,14.261017865841165
86,258.0,13.209497651045766
87,261.0,11.816199685237928
88,264.0,10.980077507774613
89,267.0,10.749498613187967
90,270.0,9.99825488639586
91,273.0,9.663837928024583
92,276.0,9.496557734225297
93,279.0,9.040206745393062
94,282.0,8.52661833406423
95,285.0,8.398348137002763
96,288.0,8.162342050862707
97,291.0,8.077961494001338
98,294.0,7.717801121328722
99,297.0,7.482652785385492
100,300.0,7.532893995130458
101,303.0,8.06088995817151
102,306.0,8.470296874099521
103,309.0,8.667495760388734
104,312.0,8.909319750569537
105,315.0,8.629093705664351
106,318.0,8.315334250545376
107,321.0,8.287321731516881
108,324.0,8.205565832662478
109,327.0,8.171990018101678
110,330.0,7.975413238473437
111,333.0,8.197939926259618
112,336.0,8.264900610544137
113,339.0,8.06167363247015
114,342.0,8.306891109984686
115,345.0,8.002383942092413
116,348.0,7.619448395960592
117,351.0,7.895701868169467
118,354.0,7.9744488843656605
119,357.0,7.6832693831097885
120,360.0,7.755153394674659
121,363.0,7.982882449481784
122,366.0,8.253514934616414
123,369.0,8.651366001181167
124,372.0,8.560239798916
125,375.0,8.58124451210718
126,378.0,8.39853357248175
127,381.0,8.185449436690437
128,384.0,8.049416837969376
129,387.0,7.58249237558824
130,390.0,7.311678972258126
131,393.0,7.3944276166567375
132,396.0,7.839733581374752
133,399.0,8.11370993930629
134,402.0,8.153211788670198
135,405.0,8.184294084411137
136,408.0,8.006750293592402
137,411.0,7.777023442532813
138,414.0,7.803692063888992
139,417.0,7.474518877002377
140,420.0,7.4175131117565245
141,423.0,7.734012319632787
142,426.0,7.772626918761365
143,429.0,7.577053768213338
144,432.0,7.419583671595853
145,435.0,7.422330270288742
146,438.0,6.978644966236168
147,441.0,6.9514495134109335
148,444.0,7.093883799948272
149,447.0,7.324584243034481
150,450.0,7.0847398685912735
151,453.0,7.188527783357833
152,456.0,7.388863876807677
153,459.0,7.393700567999235
154,462.0,7.0924214473225655
155,465.0,6.773357022344473
156,468.0,6.589955694226108
157,471.0,6.8643963102025936
158,474.0,7.068077226213175
159,477.0,6.786565806431462
160,480.0,6.596930443503097
161,483.0,7.273169754910851
162,486.0,8.972771141594016
163,489.0,10.579620264759427
164,492.0,12.039762980615492
165,495.0,13.407526186428035
166,498.0,14.764179889154587
167,501.0,15.822078479290473
168,504.0,16.760854321651195
169,507.0,17.471395536270887
170,510.0,17.764725462176763
171,513.0,18.709920072517505
172,516.0,18.88223317714839
173,519.0,19.329819186931246
174,522.0,20.579279538259406
175,525.0,21.745392677640915
176,528.0,21.666595267171687
177,531.0,21.785337345825766
178,534.0,22.5206132654024
179,537.0,23.472007102588105
180,540.0,23.406740742787647
181,543.0,23.75942266178197
182,546.0,24.355854695184533
